Marca temporal,Vacunado,Nombre,Apellido,Sexo,parentesco,anio,DIA,mes,nacimiento,Edad,Rango_edad,N_iden,iden,Telefono,email,Grupo_etnico,discapacidad,desplazado,comorbilidad,reg_afiliacion,EPS,empleo,Departamento,Municipio,Area,Barrio,Direccion,vacuna,Dosis_recivida,lote1,Fecha_Dosis1,Lote2,Fecha_Dosis2,IPS,Tipo_pp,Nivel,sintoma1,sintoma2,sintoma3,sintoma4,sintoma5,sintoma6,sintoma7,vacunador,creencia,Confia
2021/06/13 3:51:33 p. m. GMT-5,Vacunado1,Maria,García,Mujer,Padre,1988,23,12,23/12/1988,33,33-37,4627590,Cédula,3220843985,Etiam.imperdiet@gmail.com,Mulato o Afrocolombiano,No,No,Ninguno,Subsidiado,ASMET SALUD,Ama de casa,Cauca,El Bordo,Urbano,El estrecho Patia,Calle 8 #3-21,CoronaVac (Sinovac),1,E202102012,28/05/2021,,28/08/2021,Hospital del bordo,Público,1,Dolor en el sitio de la inyección,Mialgia (Dolor muscular),Fiebre,,,,,Enfermera,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
2021/06/13 4:00:40 p. m. GMT-5,Vacunado2,Julieta,Fernández,Mujer,Hermano,1987,4,12,04/12/1987,34,33-37,1166463300,Cédula,3227014942,mi.lacinia.mattis@gmail.com,Sin pertenencia étnica,No,No,Asma (moderada a grave),Contributivo,SANITAS,"Los docentes, directivos docentes y personal administrativos de los centros de educación inicial, prescolar, básica primaria, básica secundaria y educación media.",Cauca,Popayán,Urbano,El arenal ,Cra 17 #21-76,Pfizer-BioNTech,1,FA5843,08/06/2021,,29/06/2021,Clínica la Estancia,Privada,3,Dolor en el sitio de la inyección,,,,,,,Enfermera,"Si ya has tenido la COVID-19, no necesitas vacunarte",Confió en la efectividad de la vacuna.
2021/06/13 4:10:48 p. m. GMT-5,Vacunado3,Gerardo,González,Hombre,Hermana,1964,18,6,18/06/1964,57,53-57,10724085,Cédula,3224694608,aliquet.diam.Sed@gmail.com,Sin pertenencia étnica,No,No,Ninguno,Subsidiado,SANITAS,Desempleado,Cauca,Popayán,Urbano,Cadillal,Calle 15 #2-23,AstraZeneca,1,RTR2101,09/06/2021,,09/08/2021,Smisalud Ips Sas,Privada,1,Dolor en el sitio de la inyección,Fatiga,Náuseas,Diarrea,Escalofrió,Resfriado,Fiebre,Enfermero,Puedes deshacerte de tu mascarilla después de vacunarte,Confió en la efectividad de la vacuna.
2021/06/13 4:44:05 p. m. GMT-5,Vacunado4,Luis ,Rodríguez,Hombre,Hijo,1958,25,9,25/09/1958,63,60-69,1061019080,Cédula,3222133871,at@gmail.com,Sin pertenencia étnica,No,No,Ninguno,Contributivo,NUEVA EPS,Desempleado,Cauca,Popayán,Urbano,Las americas,Calle 17 #17-89,Pfizer-BioNTech,1,RT2101,07/06/2021,,21/07/2021,Hospital Toribio Maya,Público,1,Dolor en el sitio de la inyección,Mialgia (Dolor muscular),Náuseas,Fiebre,,,,Enfermera,No tengo ninguna creencia sobre la vacuna contra el Covid-19,No confió en la vacuna.
2021/06/13 4:50:20 p. m. GMT-5,Vacunado5,Miguel,López,Hombre,Hija,1981,8,7,08/07/1981,40,38-42,1061726120,Cédula,3220349812,tempus@gmail.com,Sin pertenencia étnica,No,No,Ninguno,Contributivo,SANITAS,Trabajador de la salud.,Cauca,Popayán,Urbano,La paz,Calle 71N #12-65,Pfizer-BioNTech,2,KJ7544,15/03/2021,,08/04/2021,Clínica la Estancia,Privada,3,Dolor en el sitio de la inyección,Fatiga,Dolor de Cabeza (Cefalea),,,,,Enfermera,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
2021/06/13 6:49:02 p. m. GMT-5,Vacunado6,Sara,Martínez,Mujer,Amigo,1982,22,4,22/04/1982,39,38-42,4666235,Cédula,3221959085,lacus.Quisque.imperdiet@gmail.com,Sin pertenencia étnica,No,No,Personas inmunodeprimidas (sistema inmunitario debilitado),Contributivo,SANITAS,Trabajador de la salud.,Cauca,Popayán,Urbano,La paz,Calle 8  #4-11,Pfizer-BioNTech,2,KJ7544,28/04/2021,,28/05/2021,Clínica la Estancia,Privada,3,Dolor en el sitio de la inyección,Escalofrió,Fiebre,,,,,Enfermera,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
2021/06/13 7:57:01 p. m. GMT-5,Vacunado7,Saray,Sánchez,Mujer,Amiga,1958,11,9,11/09/1958,63,60-69,1059907840,Cédula,3221067954,Nunc@gmail.com,Sin pertenencia étnica,No,No,Ninguno,Contributivo,SOS comfamdi,Ama de casa,Valle del Cauca,Cali,Urbano,Vallado,Calle 2 #12N-04,AstraZeneca,1,KJA7544,03/05/2021,,30/07/2021,Hospital Carlos Carmona ,Público,1,Dolor en el sitio de la inyección,Mialgia (Dolor muscular),Escalofrió,Resfriado,Fiebre,Dolor de Cabeza (Cefalea),,Enfermera,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
2021/06/14 11:52:23 a. m. GMT-5,Vacunado8,Maicol,Pérez,Hombre,Esposa,1962,3,6,03/06/1962,59,58-59,10519512,Cédula,3222068988,rutrum.magna@gmail.com,Sin pertenencia étnica,No,No,Ninguno,Contributivo,SANITAS,conductor,Cauca,Morales,Rural,El porvenir,Vereda El Porvenir,CoronaVac (Sinovac),1,c202104056,30/05/2021,,26/06/2021,Hospital Morales,Público,1,Ninguno,,,,,,,Enfermera,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
2021/06/14 2:38:01 p. m. GMT-5,Vacunado9,Luz Dary,Martín,Mujer,Esposo,1949,17,11,17/11/1949,72,70-79,1029602560,Cédula,3221184473,nunc.ullamcorper.eu@gmail.com,Sin pertenencia étnica,No,No,Ninguno,Subsidiado,EMSSANAR,Ama de casa,Cauca,Popayán,Urbano,El Pajonal,Carrera 19A #67-89,Pfizer-BioNTech,2,EWOL06,30/04/2021,,28/05/2021,Hospital Susana López,Privada,3,Dolor en el sitio de la inyección,,,,,,,Enfermera,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
2021/06/14 6:42:27 p. m. GMT-5,Vacunado10,Mario,Gómez,Hombre,Madre,1968,18,9,18/09/1968,53,53-57,10292245,Cédula,3224880534,viverra@gmail.com,Sin pertenencia étnica,No,No,Ninguno,Contributivo,NUEVA EPS,Desempleado,Cauca,Popayán,Urbano,Las americas,Calle 18 #11- 67,Pfizer-BioNTech,1,ET6924,07/06/2021,,21/07/2021,Hospital Toribio Maya,Público,1,Dolor en el sitio de la inyección,Mialgia (Dolor muscular),Náuseas,Fiebre,,,,Enfermera,No tengo ninguna creencia sobre la vacuna contra el Covid-19,No confió en la vacuna.
